word	sense	synset offset	synset name	sensekey
apple	apple_apple	07739125n	apple.n.01	apple%1:13:00::
apple	apple_apple_inc.	UNK	UNK	UNK
arm	arm_arm	05563770n	arm.n.01	arm%1:08:00::
arm	arm_arm_architecture	UNK	UNK	UNK
bank	bank_bank_(geography)	09213565n	bank.n.01	bank%1:17:01::
bank	bank_bank	08420278n	bank.n.02	bank%1:14:00::
bass	bass_bass_guitar	UNK	UNK	UNK
bass	bass_double_bass	UNK	UNK	UNK
bass	bass_bass_(voice_type)	06872354n	bass.n.06	bass%1:10:00::
bow	bow_bow_(ship)	02883250n	bow.n.03	bow%1:06:02::
bow	bow_bow_and_arrow	02879718n	bow.n.04	bow%1:06:01::
bow	bow_bow_(music)	02879517n	bow.n.02	bow%1:06:00::
chair	chair_chair	03001627n	chair.n.01	chair%1:06:00::
chair	chair_chairman	10468962n	president.n.04	president%1:18:03::
crane	crane_crane_(bird)	02012849n	crane.n.05	crane%1:05:00::
crane	crane_crane_(machine)	03126707n	crane.n.04	crane%1:06:00::
club	club_club	08227214n	club.n.02	club%1:14:00::
club	club_nightclub	02931417n	club.n.07	club%1:06:04::
club	club_club_(weapon)	03053474n	club.n.03	club%1:06:00::
deck	deck_deck_(building)	03168107n	deck.n.04	deck%1:06:02::
deck	deck_deck_(ship)	03167666n	deck.n.01	deck%1:06:00::
digit	digit_numerical_digit	13741022n	digit.n.01	digit%1:23:00::
digit	digit_digit_(anatomy)	05566097n	digit.n.03	digit%1:08:00::
hood	hood_hood_(comics)	UNK	UNK	UNK
hood	hood_hood_(headgear)	03531281n	hood.n.08	hood%1:06:02::
hood	hood_hood_(vehicle)	03530910n	hood.n.09	hood%1:06:00::
java	java_java	08908248n	java.n.01	java%1:15:00::
java	java_java_(programming_language)	06901053n	java.n.03	java%1:10:00::
mole	mole_mole_(animal)	01889520n	mole.n.06	mole%1:05:00::
mole	mole_mole_(unit)	13724081n	gram_molecule.n.01	mole%1:23:00::
mole	mole_mole_(espionage)	09970192n	counterspy.n.01	mole%1:18:00::
mole	mole_mole_sauce	07838551n	mole.n.03	mole%1:13:00::
mole	mole_mole_(architecture)	02894605n	breakwater.n.01	mole%1:06:00::
pitcher	pitcher_pitcher	10435988n	pitcher.n.01	pitcher%1:18:00::
pitcher	pitcher_pitcher_(container)	03950228n	pitcher.n.02	pitcher%1:06:00::
pound	pound_pound_(currency)	13686660n	british_pound.n.01	pound%1:23:01::
pound	pound_pound_(mass)	13720096n	pound.n.01	pound%1:23:09::
seal	seal_seal_(musician)	UNK	UNK	UNK
seal	seal_pinniped	UNK	UNK	UNK
seal	seal_seal_(emblem)	04159058n	seal.n.02	seal%1:06:00::
seal	seal_seal_(mechanical)	04159354n	seal.n.08	seal%1:06:02::
spring	spring_spring_(season)	15237044n	spring.n.01	spring%1:28:00::
spring	spring_spring_(device)	04288272n	spring.n.02	spring%1:06:00::
spring	spring_spring_(hydrology)	09443453n	spring.n.03	spring%1:17:00::
square	square_square_(company)	UNK	UNK	UNK
square	square_square	13878634n	square.n.01	square%1:25:00::
square	square_square_number	13731021n	square.n.02	square%1:23:00::
square	square_town_square	08619620n	public_square.n.01	square%1:15:00::
trunk	trunk_trunk_(anatomy)	05549830n	torso.n.01	trunk%1:08:00::
trunk	trunk_trunk_(botany)	13165815n	trunk.n.01	trunk%1:20:00::
trunk	trunk_trunk_(automobile)	03696065n	luggage_compartment.n.01	trunk%1:06:01::
yard	yard_yard	13650447n	yard.n.01	yard%1:23:00::
yard	yard_yard_(sailing)	04610676n	yard.n.08	yard%1:06:01::
