word,sense,n_insts,acc
apple,apple_apple,398,0.987437
apple,apple_apple_inc.,634,0.995268
apple,ALL,1032,0.992248
arm,arm_arm,43,1.000000
arm,arm_arm_architecture,121,0.991736
arm,ALL,164,0.993902
bank,bank_bank_(geography),22,0.954545
bank,bank_bank,433,1.000000
bank,ALL,455,0.997802
bass,bass_bass_guitar,1005,0.828856
bass,bass_double_bass,88,0.772727
bass,bass_bass_(voice_type),298,0.919463
bass,ALL,1391,0.844716
bow,bow_bow_(ship),117,0.982906
bow,bow_bow_and_arrow,72,0.888889
bow,bow_bow_(music),26,1.000000
bow,ALL,215,0.953488
chair,chair_chair,42,0.904762
chair,chair_chairman,88,0.988636
chair,ALL,130,0.961538
crane,crane_crane_(bird),76,0.934211
crane,crane_crane_(machine),81,1.000000
crane,ALL,157,0.968153
club,club_club,108,0.777778
club,club_nightclub,73,0.931507
club,club_club_(weapon),21,0.952381
club,ALL,202,0.851485
deck,deck_deck_(building),7,1.000000
deck,deck_deck_(ship),92,0.913043
deck,ALL,99,0.919192
digit,digit_numerical_digit,33,1.000000
digit,digit_digit_(anatomy),9,1.000000
digit,ALL,42,1.000000
hood,hood_hood_(comics),47,1.000000
hood,hood_hood_(headgear),22,1.000000
hood,hood_hood_(vehicle),13,1.000000
hood,ALL,82,1.000000
java,java_java,1180,0.994068
java,java_java_(programming_language),749,0.998665
java,ALL,1929,0.995853
mole,mole_mole_(animal),77,0.974026
mole,mole_mole_(unit),42,1.000000
mole,mole_mole_(espionage),44,0.977273
mole,mole_mole_sauce,23,1.000000
mole,mole_mole_(architecture),20,1.000000
mole,ALL,206,0.985437
pitcher,pitcher_pitcher,2806,0.999287
pitcher,pitcher_pitcher_(container),13,1.000000
pitcher,ALL,2819,0.999291
pound,pound_pound_(currency),10,1.000000
pound,pound_pound_(mass),87,0.885057
pound,ALL,97,0.896907
seal,seal_seal_(musician),106,1.000000
seal,seal_pinniped,131,0.984733
seal,seal_seal_(emblem),114,0.956140
seal,seal_seal_(mechanical),12,1.000000
seal,ALL,363,0.980716
spring,spring_spring_(season),148,0.986486
spring,spring_spring_(device),73,0.972603
spring,spring_spring_(hydrology),236,0.974576
spring,ALL,457,0.978118
square,square_square_(company),62,1.000000
square,square_square,103,0.941748
square,square_square_number,13,0.846154
square,square_town_square,29,1.000000
square,ALL,207,0.961353
trunk,trunk_trunk_(anatomy),14,1.000000
trunk,trunk_trunk_(botany),47,0.978723
trunk,trunk_trunk_(automobile),16,1.000000
trunk,ALL,77,0.987013
yard,yard_yard,61,0.868852
yard,yard_yard_(sailing),11,1.000000
yard,ALL,72,0.888889
