word,sense,n_insts,acc
apple,apple_apple,398,0.947236
apple,apple_apple_inc.,634,0.976341
apple,ALL,1032,0.965116
arm,arm_arm,43,0.883721
arm,arm_arm_architecture,121,0.966942
arm,ALL,164,0.945122
bank,bank_bank_(geography),22,0.363636
bank,bank_bank,433,1.000000
bank,ALL,455,0.969231
bass,bass_bass_guitar,1005,0.981095
bass,bass_double_bass,88,0.500000
bass,bass_bass_(voice_type),298,0.926174
bass,ALL,1391,0.938893
bow,bow_bow_(ship),117,0.957265
bow,bow_bow_and_arrow,72,0.888889
bow,bow_bow_(music),26,0.653846
bow,ALL,215,0.897674
chair,chair_chair,42,0.738095
chair,chair_chairman,88,0.852273
chair,ALL,130,0.815385
crane,crane_crane_(bird),76,0.921053
crane,crane_crane_(machine),81,0.913580
crane,ALL,157,0.917197
club,club_club,108,0.842593
club,club_nightclub,73,0.780822
club,club_club_(weapon),21,0.571429
club,ALL,202,0.792079
deck,deck_deck_(building),7,0.142857
deck,deck_deck_(ship),92,0.978261
deck,ALL,99,0.919192
digit,digit_numerical_digit,33,1.000000
digit,digit_digit_(anatomy),9,0.666667
digit,ALL,42,0.928571
hood,hood_hood_(comics),47,1.000000
hood,hood_hood_(headgear),22,0.500000
hood,hood_hood_(vehicle),13,0.615385
hood,ALL,82,0.804878
java,java_java,1180,0.990678
java,java_java_(programming_language),749,0.983979
java,ALL,1929,0.988077
mole,mole_mole_(animal),77,0.922078
mole,mole_mole_(unit),42,0.976190
mole,mole_mole_(espionage),44,0.795455
mole,mole_mole_sauce,23,0.826087
mole,mole_mole_(architecture),20,0.700000
mole,ALL,206,0.873786
pitcher,pitcher_pitcher,2806,1.000000
pitcher,pitcher_pitcher_(container),13,0.230769
pitcher,ALL,2819,0.996453
pound,pound_pound_(currency),10,0.000000
pound,pound_pound_(mass),87,0.977011
pound,ALL,97,0.876289
seal,seal_seal_(musician),106,0.962264
seal,seal_pinniped,131,0.885496
seal,seal_seal_(emblem),114,0.894737
seal,seal_seal_(mechanical),12,0.166667
seal,ALL,363,0.887052
spring,spring_spring_(season),148,0.885135
spring,spring_spring_(device),73,0.904110
spring,spring_spring_(hydrology),236,0.944915
spring,ALL,457,0.919037
square,square_square_(company),62,1.000000
square,square_square,103,0.941748
square,square_square_number,13,0.076923
square,square_town_square,29,0.689655
square,ALL,207,0.869565
trunk,trunk_trunk_(anatomy),14,0.571429
trunk,trunk_trunk_(botany),47,0.957447
trunk,trunk_trunk_(automobile),16,0.750000
trunk,ALL,77,0.844156
yard,yard_yard,61,1.000000
yard,yard_yard_(sailing),11,0.090909
yard,ALL,72,0.861111
