word,sense,n_insts,acc
apple,apple_apple,398,0.972362
apple,apple_apple_inc.,634,0.990536
apple,ALL,1032,0.983527
arm,arm_arm,43,0.976744
arm,arm_arm_architecture,121,0.983471
arm,ALL,164,0.981707
bank,bank_bank_(geography),22,0.590909
bank,bank_bank,433,1.000000
bank,ALL,455,0.980220
bass,bass_bass_guitar,1005,0.981095
bass,bass_double_bass,88,0.522727
bass,bass_bass_(voice_type),298,0.936242
bass,ALL,1391,0.942487
bow,bow_bow_(ship),117,0.982906
bow,bow_bow_and_arrow,72,0.944444
bow,bow_bow_(music),26,0.884615
bow,ALL,215,0.958140
chair,chair_chair,42,0.809524
chair,chair_chairman,88,0.920455
chair,ALL,130,0.884615
crane,crane_crane_(bird),76,0.921053
crane,crane_crane_(machine),81,0.975309
crane,ALL,157,0.949045
club,club_club,108,0.824074
club,club_nightclub,73,0.780822
club,club_club_(weapon),21,0.809524
club,ALL,202,0.806931
deck,deck_deck_(building),7,0.142857
deck,deck_deck_(ship),92,1.000000
deck,ALL,99,0.939394
digit,digit_numerical_digit,33,1.000000
digit,digit_digit_(anatomy),9,1.000000
digit,ALL,42,1.000000
hood,hood_hood_(comics),47,1.000000
hood,hood_hood_(headgear),22,0.727273
hood,hood_hood_(vehicle),13,0.769231
hood,ALL,82,0.890244
java,java_java,1180,0.994068
java,java_java_(programming_language),749,0.993324
java,ALL,1929,0.993779
mole,mole_mole_(animal),77,0.948052
mole,mole_mole_(unit),42,1.000000
mole,mole_mole_(espionage),44,0.931818
mole,mole_mole_sauce,23,0.869565
mole,mole_mole_(architecture),20,0.800000
mole,ALL,206,0.932039
pitcher,pitcher_pitcher,2806,1.000000
pitcher,pitcher_pitcher_(container),13,0.384615
pitcher,ALL,2819,0.997162
pound,pound_pound_(currency),10,0.100000
pound,pound_pound_(mass),87,0.965517
pound,ALL,97,0.876289
seal,seal_seal_(musician),106,0.990566
seal,seal_pinniped,131,0.923664
seal,seal_seal_(emblem),114,0.956140
seal,seal_seal_(mechanical),12,0.833333
seal,ALL,363,0.950413
spring,spring_spring_(season),148,0.925676
spring,spring_spring_(device),73,0.972603
spring,spring_spring_(hydrology),236,0.949153
spring,ALL,457,0.945295
square,square_square_(company),62,1.000000
square,square_square,103,0.951456
square,square_square_number,13,0.307692
square,square_town_square,29,0.793103
square,ALL,207,0.903382
trunk,trunk_trunk_(anatomy),14,0.785714
trunk,trunk_trunk_(botany),47,0.978723
trunk,trunk_trunk_(automobile),16,0.812500
trunk,ALL,77,0.909091
yard,yard_yard,61,1.000000
yard,yard_yard_(sailing),11,0.636364
yard,ALL,72,0.944444
